datetime_UTC,longitude,latitude,water_level,quality_water_level
2022-01-01T10:17:23.000000,8.308524,55.359263,1.014,1
2022-01-01T10:17:24.000000,8.276975,55.301956,0.985,0
2022-01-01T10:17:25.000000,8.245504,55.244642,1.0,0
2022-01-01T10:17:26.000000,8.214112,55.187321,0.998,0
2022-01-01T10:17:27.000000,8.182798,55.129993,0.987,0
2022-01-01T10:17:28.000000,8.151561,55.072659,1.013,0
2022-01-01T10:17:29.000000,8.120402,55.015319,1.022,0
2022-01-01T10:17:30.000000,8.08932,54.957971,1.039,0
2022-01-01T10:17:31.000000,8.058314,54.900618,1.044,0
2022-01-01T10:17:32.000000,8.027384,54.843257,1.061,0
2022-01-01T10:17:33.000000,7.996529,54.785891,1.053,0
2022-01-01T10:17:34.000000,7.96575,54.728518,1.062,0
2022-01-01T10:17:35.000000,7.935046,54.671138,1.093,0
2022-01-01T10:17:36.000000,7.904417,54.613752,1.103,0
2022-01-01T10:17:37.000000,7.873862,54.55636,1.078,0
2022-01-01T10:17:38.000000,7.843381,54.498961,1.059,0
2022-01-01T10:17:39.000000,7.812973,54.441557,1.095,0
2022-01-01T10:17:40.000000,7.782639,54.384146,1.06,0
2022-01-01T10:17:41.000000,7.752377,54.326728,1.031,0
2022-01-01T10:17:42.000000,7.722188,54.269305,1.004,0
2022-01-01T10:17:43.000000,7.692071,54.211875,1.012,0
2022-01-01T10:17:44.000000,7.662026,54.154439,1.02,0
2022-01-01T10:17:45.000000,7.632052,54.096997,0.988,0
2022-01-01T10:17:46.000000,7.602149,54.039549,0.939,0
2022-01-01T10:17:47.000000,7.572317,53.982095,0.927,0
2022-01-01T10:17:48.000000,7.542556,53.924635,0.931,0
2022-01-01T10:17:49.000000,7.512865,53.867168,0.915,0
2022-01-01T10:17:50.000000,7.483243,53.809696,0.904,1
2022-01-02T21:17:33.000000,0.365446,49.802806,3.318,1
2022-01-02T21:17:34.000000,0.339962,49.860646,3.261,0
2022-01-02T21:17:35.000000,0.314427,49.918481,3.165,0
2022-01-02T21:17:36.000000,0.288841,49.976311,3.107,0
2022-01-02T21:17:37.000000,0.263204,50.034137,3.027,0
2022-01-02T21:17:38.000000,0.237515,50.091958,2.992,0
2022-01-02T21:17:39.000000,0.211774,50.149775,2.954,0
2022-01-02T21:17:40.000000,0.185982,50.207587,2.943,0
2022-01-02T21:17:41.000000,0.160137,50.265395,2.844,0
2022-01-02T21:17:42.000000,0.13424,50.323197,2.827,0
2022-01-02T21:17:43.000000,0.10829,50.380996,2.74,0
2022-01-02T21:17:44.000000,0.082287,50.438789,2.671,0
2022-01-02T21:17:45.000000,0.056231,50.496578,2.606,0
2022-01-02T21:17:46.000000,0.030122,50.554362,2.544,0
2022-01-02T21:17:47.000000,0.003959,50.612141,2.494,0
2022-01-02T21:17:48.000000,-0.022258,50.669915,2.448,0
2022-01-02T21:17:49.000000,-0.048529,50.727685,2.406,0
2022-01-03T20:52:21.000000,5.312112,53.210034,1.494,1
2022-01-03T20:52:23.000000,5.254223,53.325105,1.542,1
2022-01-03T20:52:25.000000,5.196068,53.440153,1.407,1
2022-01-03T20:52:26.000000,5.166889,53.497668,1.367,0
2022-01-03T20:52:27.000000,5.137643,53.555178,1.335,0
2022-01-03T20:52:28.000000,5.108329,53.612681,1.303,0
2022-01-03T20:52:29.000000,5.078946,53.670179,1.266,0
