datetime_UTC,u,v
2022-01-01 00:00:00,-0.3121,0.0813
2022-01-01 00:12:00,-0.3254,0.1012
2022-01-01 00:24:00,-0.3145,0.092
2022-01-01 00:36:00,-0.3498,0.086
2022-01-01 00:48:00,-0.3303,0.0713
2022-01-01 01:00:00,-0.2841,0.0329
2022-01-01 01:12:00,-0.2995,0.0331
2022-01-01 01:24:00,-0.2714,0.0588
2022-01-01 01:36:00,-0.279,0.0653
2022-01-01 01:48:00,-0.2242,0.0394
2022-01-01 02:00:00,-0.1973,0.0337
2022-01-01 02:12:00,-0.1764,0.0461
2022-01-01 02:24:00,-0.1418,0.0413
2022-01-01 02:36:00,-0.0853,0.0324
2022-01-01 02:48:00,-0.0243,0.0228
2022-01-01 03:00:00,0.0413,-0.0025
2022-01-01 03:12:00,0.1584,-0.0089
2022-01-01 03:24:00,0.1943,-0.0002
2022-01-01 03:36:00,0.222,0.0048
2022-01-01 03:48:00,0.2983,-0.003
2022-01-01 04:00:00,0.3377,0.005
2022-01-01 04:12:00,0.416,0.0162
2022-01-01 04:24:00,0.4406,0.0229
2022-01-01 04:36:00,0.4773,0.0123
2022-01-01 04:48:00,0.4955,0.0399
2022-01-01 05:00:00,0.4866,0.0273
2022-01-01 05:12:00,0.5276,0.0485
2022-01-01 05:24:00,0.563,0.0313
2022-01-01 05:36:00,0.5447,0.0487
2022-01-01 05:48:00,0.5581,0.0403
2022-01-01 06:00:00,0.5847,0.0381
2022-01-01 06:12:00,0.5884,0.0155
2022-01-01 06:24:00,0.5368,0.0446
2022-01-01 06:36:00,0.566,0.0883
2022-01-01 06:48:00,0.5849,-0.0161
2022-01-01 07:00:00,0.4987,0.0931
2022-01-01 07:12:00,0.5353,0.0834
2022-01-01 07:24:00,0.4962,0.0675
2022-01-01 07:36:00,0.473,0.0712
2022-01-01 07:48:00,0.4291,0.0879
2022-01-01 08:00:00,0.3316,0.131
2022-01-01 08:12:00,0.3263,0.1197
2022-01-01 08:24:00,0.2889,0.1094
2022-01-01 08:36:00,0.2579,0.1179
2022-01-01 08:48:00,0.2155,0.1431
2022-01-01 09:00:00,0.1323,0.1503
2022-01-01 09:12:00,0.0892,0.1331
2022-01-01 09:24:00,0.0294,0.1558
2022-01-01 09:36:00,0.0101,0.1904
2022-01-01 09:48:00,-0.01,0.1738
2022-01-01 10:00:00,-0.0485,0.1878
2022-01-01 10:12:00,-0.1162,0.1839
2022-01-01 10:24:00,-0.1272,0.1991
2022-01-01 10:36:00,-0.1738,0.2272
2022-01-01 10:48:00,-0.1622,0.2148
2022-01-01 11:00:00,-0.1927,0.1942
2022-01-01 11:12:00,-0.2285,0.22
2022-01-01 11:24:00,-0.2743,0.2254
2022-01-01 11:36:00,-0.3152,0.2263
2022-01-01 11:48:00,-0.3398,0.2218
2022-01-01 12:00:00,-0.3731,0.1976
